133.4315361023/38.15780083827,133.435080719/38.15780083827,133.4386253357/38.15780083827,133.4421699524/38.15780083827,133.4457145691/38.15780083827,133.4492591858/38.15780083827,133.4528038025/38.15780083827,133.4563484192/38.15780083827,133.4598930359/38.15780083827,133.4634376526/38.15780083827,133.4669822693/38.15780083827,133.470526886/38.15780083827,133.4740715027/38.15780083827,133.4776161194/38.15780083827,133.4811607361/38.15780083827,133.4847053528/38.15780083827,133.4882499695/38.15780083827,133.4917945862/38.15780083827,133.4953392029/38.15780083827,133.4988838196/38.15780083827,133.5024284363/38.15780083827,133.505973053/38.15780083827,133.5095176697/38.15780083827,133.5130622864/38.15780083827,133.5166069031/38.15780083827,133.5201515198/38.15780083827,133.5236961365/38.15780083827,133.5272407532/38.15780083827,133.5307853699/38.15780083827,133.5343299866/38.15780083827,133.5378746033/38.15780083827,133.54141922/38.15780083827,133.5449638367/38.15780083827,133.5485084534/38.15780083827,133.5520530701/38.15780083827,133.5555976868/38.15780083827,133.5591423035/38.15780083827,133.5626869202/38.15780083827,133.5662315369/38.15780083827,133.5697761536/38.15780083827,133.5733207703/38.15780083827,133.576865387/38.15780083827,133.5804100037/38.15780083827,133.5839546204/38.15780083827,133.5874992371/38.15780083827,133.5910438538/38.15780083827,133.5945884705/38.15780083827,133.5981330872/38.15780083827,133.6016777039/38.15780083827,133.6052223206/38.15780083827,133.6087669373/38.15780083827,133.612311554/38.15780083827,133.6158561707/38.15780083827,133.6194007874/38.15780083827,133.6229454041/38.15780083827,133.6264900208/38.15780083827,133.6300346375/38.15780083827,133.6335792542/38.15780083827,133.6371238708/38.15780083827,133.6406684875/38.15780083827
133.4315361023/38.22115865457,133.435080719/38.22115865457,133.4386253357/38.22115865457,133.4421699524/38.22115865457,133.4457145691/38.22115865457,133.4492591858/38.22115865457,133.4528038025/38.22115865457,133.4563484192/38.22115865457,133.4598930359/38.22115865457,133.4634376526/38.22115865457,133.4669822693/38.22115865457,133.470526886/38.22115865457,133.4740715027/38.22115865457,133.4776161194/38.22115865457,133.4811607361/38.22115865457,133.4847053528/38.22115865457,133.4882499695/38.22115865457,133.4917945862/38.22115865457,133.4953392029/38.22115865457,133.4988838196/38.22115865457,133.5024284363/38.22115865457,133.505973053/38.22115865457,133.5095176697/38.22115865457,133.5130622864/38.22115865457,133.5166069031/38.22115865457,133.5201515198/38.22115865457,133.5236961365/38.22115865457,133.5272407532/38.22115865457,133.5307853699/38.22115865457,133.5343299866/38.22115865457,133.5378746033/38.22115865457,133.54141922/38.22115865457,133.5449638367/38.22115865457,133.5485084534/38.22115865457,133.5520530701/38.22115865457,133.5555976868/38.22115865457,133.5591423035/38.22115865457,133.5626869202/38.22115865457,133.5662315369/38.22115865457,133.5697761536/38.22115865457,133.5733207703/38.22115865457,133.576865387/38.22115865457,133.5804100037/38.22115865457,133.5839546204/38.22115865457,133.5874992371/38.22115865457,133.5910438538/38.22115865457,133.5945884705/38.22115865457,133.5981330872/38.22115865457,133.6016777039/38.22115865457,133.6052223206/38.22115865457,133.6087669373/38.22115865457,133.612311554/38.22115865457,133.6158561707/38.22115865457,133.6194007874/38.22115865457,133.6229454041/38.22115865457,133.6264900208/38.22115865457,133.6300346375/38.22115865457,133.6335792542/38.22115865457,133.6371238708/38.22115865457,133.6406684875/38.22115865457
133.4315361023/38.22359439294,133.435080719/38.22359439294,133.4386253357/38.22359439294,133.4421699524/38.22359439294,133.4457145691/38.22359439294,133.4492591858/38.22359439294,133.4528038025/38.22359439294,133.4563484192/38.22359439294,133.4598930359/38.22359439294,133.4634376526/38.22359439294,133.4669822693/38.22359439294,133.470526886/38.22359439294,133.4740715027/38.22359439294,133.4776161194/38.22359439294,133.4811607361/38.22359439294,133.4847053528/38.22359439294,133.4882499695/38.22359439294,133.4917945862/38.22359439294,133.4953392029/38.22359439294,133.4988838196/38.22359439294,133.5024284363/38.22359439294,133.505973053/38.22359439294,133.5095176697/38.22359439294,133.5130622864/38.22359439294,133.5166069031/38.22359439294,133.5201515198/38.22359439294,133.5236961365/38.22359439294,133.5272407532/38.22359439294,133.5307853699/38.22359439294,133.5343299866/38.22359439294,133.5378746033/38.22359439294,133.54141922/38.22359439294,133.5449638367/38.22359439294,133.5485084534/38.22359439294,133.5520530701/38.22359439294,133.5555976868/38.22359439294,133.5591423035/38.22359439294,133.5626869202/38.22359439294,133.5662315369/38.22359439294,133.5697761536/38.22359439294,133.5733207703/38.22359439294,133.576865387/38.22359439294,133.5804100037/38.22359439294,133.5839546204/38.22359439294,133.5874992371/38.22359439294,133.5910438538/38.22359439294,133.5945884705/38.22359439294,133.5981330872/38.22359439294,133.6016777039/38.22359439294,133.6052223206/38.22359439294,133.6087669373/38.22359439294,133.612311554/38.22359439294,133.6158561707/38.22359439294,133.6194007874/38.22359439294,133.6229454041/38.22359439294,133.6264900208/38.22359439294,133.6300346375/38.22359439294,133.6335792542/38.22359439294,133.6371238708/38.22359439294,133.6406684875/38.22359439294
133.4315361023/38.22603004977,133.435080719/38.22603004977,133.4386253357/38.22603004977,133.4421699524/38.22603004977,133.4457145691/38.22603004977,133.4492591858/38.22603004977,133.4528038025/38.22603004977,133.4563484192/38.22603004977,133.4598930359/38.22603004977,133.4634376526/38.22603004977,133.4669822693/38.22603004977,133.470526886/38.22603004977,133.4740715027/38.22603004977,133.4776161194/38.22603004977,133.4811607361/38.22603004977,133.4847053528/38.22603004977,133.4882499695/38.22603004977,133.4917945862/38.22603004977,133.4953392029/38.22603004977,133.4988838196/38.22603004977,133.5024284363/38.22603004977,133.505973053/38.22603004977,133.5095176697/38.22603004977,133.5130622864/38.22603004977,133.5166069031/38.22603004977,133.5201515198/38.22603004977,133.5236961365/38.22603004977,133.5272407532/38.22603004977,133.5307853699/38.22603004977,133.5343299866/38.22603004977,133.5378746033/38.22603004977,133.54141922/38.22603004977,133.5449638367/38.22603004977,133.5485084534/38.22603004977,133.5520530701/38.22603004977,133.5555976868/38.22603004977,133.5591423035/38.22603004977,133.5626869202/38.22603004977,133.5662315369/38.22603004977,133.5697761536/38.22603004977,133.5733207703/38.22603004977,133.576865387/38.22603004977,133.5804100037/38.22603004977,133.5839546204/38.22603004977,133.5874992371/38.22603004977,133.5910438538/38.22603004977,133.5945884705/38.22603004977,133.5981330872/38.22603004977,133.6016777039/38.22603004977,133.6052223206/38.22603004977,133.6087669373/38.22603004977,133.612311554/38.22603004977,133.6158561707/38.22603004977,133.6194007874/38.22603004977,133.6229454041/38.22603004977,133.6264900208/38.22603004977,133.6300346375/38.22603004977,133.6335792542/38.22603004977,133.6371238708/38.22603004977,133.6406684875/38.22603004977
133.4315361023/38.22846562504,133.435080719/38.22846562504,133.4386253357/38.22846562504,133.4421699524/38.22846562504,133.4457145691/38.22846562504,133.4492591858/38.22846562504,133.4528038025/38.22846562504,133.4563484192/38.22846562504,133.4598930359/38.22846562504,133.4634376526/38.22846562504,133.4669822693/38.22846562504,133.470526886/38.22846562504,133.4740715027/38.22846562504,133.4776161194/38.22846562504,133.4811607361/38.22846562504,133.4847053528/38.22846562504,133.4882499695/38.22846562504,133.4917945862/38.22846562504,133.4953392029/38.22846562504,133.4988838196/38.22846562504,133.5024284363/38.22846562504,133.505973053/38.22846562504,133.5095176697/38.22846562504,133.5130622864/38.22846562504,133.5166069031/38.22846562504,133.5201515198/38.22846562504,133.5236961365/38.22846562504,133.5272407532/38.22846562504,133.5307853699/38.22846562504,133.5343299866/38.22846562504,133.5378746033/38.22846562504,133.54141922/38.22846562504,133.5449638367/38.22846562504,133.5485084534/38.22846562504,133.5520530701/38.22846562504,133.5555976868/38.22846562504,133.5591423035/38.22846562504,133.5626869202/38.22846562504,133.5662315369/38.22846562504,133.5697761536/38.22846562504,133.5733207703/38.22846562504,133.576865387/38.22846562504,133.5804100037/38.22846562504,133.5839546204/38.22846562504,133.5874992371/38.22846562504,133.5910438538/38.22846562504,133.5945884705/38.22846562504,133.5981330872/38.22846562504,133.6016777039/38.22846562504,133.6052223206/38.22846562504,133.6087669373/38.22846562504,133.612311554/38.22846562504,133.6158561707/38.22846562504,133.6194007874/38.22846562504,133.6229454041/38.22846562504,133.6264900208/38.22846562504,133.6300346375/38.22846562504,133.6335792542/38.22846562504,133.6371238708/38.22846562504,133.6406684875/38.22846562504
133.4315361023/38.23090111876,133.435080719/38.23090111876,133.4386253357/38.23090111876,133.4421699524/38.23090111876,133.4457145691/38.23090111876,133.4492591858/38.23090111876,133.4528038025/38.23090111876,133.4563484192/38.23090111876,133.4598930359/38.23090111876,133.4634376526/38.23090111876,133.4669822693/38.23090111876,133.470526886/38.23090111876,133.4740715027/38.23090111876,133.4776161194/38.23090111876,133.4811607361/38.23090111876,133.4847053528/38.23090111876,133.4882499695/38.23090111876,133.4917945862/38.23090111876,133.4953392029/38.23090111876,133.4988838196/38.23090111876,133.5024284363/38.23090111876,133.505973053/38.23090111876,133.5095176697/38.23090111876,133.5130622864/38.23090111876,133.5166069031/38.23090111876,133.5201515198/38.23090111876,133.5236961365/38.23090111876,133.5272407532/38.23090111876,133.5307853699/38.23090111876,133.5343299866/38.23090111876,133.5378746033/38.23090111876,133.54141922/38.23090111876,133.5449638367/38.23090111876,133.5485084534/38.23090111876,133.5520530701/38.23090111876,133.5555976868/38.23090111876,133.5591423035/38.23090111876,133.5626869202/38.23090111876,133.5662315369/38.23090111876,133.5697761536/38.23090111876,133.5733207703/38.23090111876,133.576865387/38.23090111876,133.5804100037/38.23090111876,133.5839546204/38.23090111876,133.5874992371/38.23090111876,133.5910438538/38.23090111876,133.5945884705/38.23090111876,133.5981330872/38.23090111876,133.6016777039/38.23090111876,133.6052223206/38.23090111876,133.6087669373/38.23090111876,133.612311554/38.23090111876,133.6158561707/38.23090111876,133.6194007874/38.23090111876,133.6229454041/38.23090111876,133.6264900208/38.23090111876,133.6300346375/38.23090111876,133.6335792542/38.23090111876,133.6371238708/38.23090111876,133.6406684875/38.23090111876
133.4315361023/38.23333653093,133.435080719/38.23333653093,133.4386253357/38.23333653093,133.4421699524/38.23333653093,133.4457145691/38.23333653093,133.4492591858/38.23333653093,133.4528038025/38.23333653093,133.4563484192/38.23333653093,133.4598930359/38.23333653093,133.4634376526/38.23333653093,133.4669822693/38.23333653093,133.470526886/38.23333653093,133.4740715027/38.23333653093,133.4776161194/38.23333653093,133.4811607361/38.23333653093,133.4847053528/38.23333653093,133.4882499695/38.23333653093,133.4917945862/38.23333653093,133.4953392029/38.23333653093,133.4988838196/38.23333653093,133.5024284363/38.23333653093,133.505973053/38.23333653093,133.5095176697/38.23333653093,133.5130622864/38.23333653093,133.5166069031/38.23333653093,133.5201515198/38.23333653093,133.5236961365/38.23333653093,133.5272407532/38.23333653093,133.5307853699/38.23333653093,133.5343299866/38.23333653093,133.5378746033/38.23333653093,133.54141922/38.23333653093,133.5449638367/38.23333653093,133.5485084534/38.23333653093,133.5520530701/38.23333653093,133.5555976868/38.23333653093,133.5591423035/38.23333653093,133.5626869202/38.23333653093,133.5662315369/38.23333653093,133.5697761536/38.23333653093,133.5733207703/38.23333653093,133.576865387/38.23333653093,133.5804100037/38.23333653093,133.5839546204/38.23333653093,133.5874992371/38.23333653093,133.5910438538/38.23333653093,133.5945884705/38.23333653093,133.5981330872/38.23333653093,133.6016777039/38.23333653093,133.6052223206/38.23333653093,133.6087669373/38.23333653093,133.612311554/38.23333653093,133.6158561707/38.23333653093,133.6194007874/38.23333653093,133.6229454041/38.23333653093,133.6264900208/38.23333653093,133.6300346375/38.23333653093,133.6335792542/38.23333653093,133.6371238708/38.23333653093,133.6406684875/38.23333653093
133.4315361023/38.23577186153,133.435080719/38.23577186153,133.4386253357/38.23577186153,133.4421699524/38.23577186153,133.4457145691/38.23577186153,133.4492591858/38.23577186153,133.4528038025/38.23577186153,133.4563484192/38.23577186153,133.4598930359/38.23577186153,133.4634376526/38.23577186153,133.4669822693/38.23577186153,133.470526886/38.23577186153,133.4740715027/38.23577186153,133.4776161194/38.23577186153,133.4811607361/38.23577186153,133.4847053528/38.23577186153,133.4882499695/38.23577186153,133.4917945862/38.23577186153,133.4953392029/38.23577186153,133.4988838196/38.23577186153,133.5024284363/38.23577186153,133.505973053/38.23577186153,133.5095176697/38.23577186153,133.5130622864/38.23577186153,133.5166069031/38.23577186153,133.5201515198/38.23577186153,133.5236961365/38.23577186153,133.5272407532/38.23577186153,133.5307853699/38.23577186153,133.5343299866/38.23577186153,133.5378746033/38.23577186153,133.54141922/38.23577186153,133.5449638367/38.23577186153,133.5485084534/38.23577186153,133.5520530701/38.23577186153,133.5555976868/38.23577186153,133.5591423035/38.23577186153,133.5626869202/38.23577186153,133.5662315369/38.23577186153,133.5697761536/38.23577186153,133.5733207703/38.23577186153,133.576865387/38.23577186153,133.5804100037/38.23577186153,133.5839546204/38.23577186153,133.5874992371/38.23577186153,133.5910438538/38.23577186153,133.5945884705/38.23577186153,133.5981330872/38.23577186153,133.6016777039/38.23577186153,133.6052223206/38.23577186153,133.6087669373/38.23577186153,133.612311554/38.23577186153,133.6158561707/38.23577186153,133.6194007874/38.23577186153,133.6229454041/38.23577186153,133.6264900208/38.23577186153,133.6300346375/38.23577186153,133.6335792542/38.23577186153,133.6371238708/38.23577186153,133.6406684875/38.23577186153
133.4315361023/38.23820711058,133.435080719/38.23820711058,133.4386253357/38.23820711058,133.4421699524/38.23820711058,133.4457145691/38.23820711058,133.4492591858/38.23820711058,133.4528038025/38.23820711058,133.4563484192/38.23820711058,133.4598930359/38.23820711058,133.4634376526/38.23820711058,133.4669822693/38.23820711058,133.470526886/38.23820711058,133.4740715027/38.23820711058,133.4776161194/38.23820711058,133.4811607361/38.23820711058,133.4847053528/38.23820711058,133.4882499695/38.23820711058,133.4917945862/38.23820711058,133.4953392029/38.23820711058,133.4988838196/38.23820711058,133.5024284363/38.23820711058,133.505973053/38.23820711058,133.5095176697/38.23820711058,133.5130622864/38.23820711058,133.5166069031/38.23820711058,133.5201515198/38.23820711058,133.5236961365/38.23820711058,133.5272407532/38.23820711058,133.5307853699/38.23820711058,133.5343299866/38.23820711058,133.5378746033/38.23820711058,133.54141922/38.23820711058,133.5449638367/38.23820711058,133.5485084534/38.23820711058,133.5520530701/38.23820711058,133.5555976868/38.23820711058,133.5591423035/38.23820711058,133.5626869202/38.23820711058,133.5662315369/38.23820711058,133.5697761536/38.23820711058,133.5733207703/38.23820711058,133.576865387/38.23820711058,133.5804100037/38.23820711058,133.5839546204/38.23820711058,133.5874992371/38.23820711058,133.5910438538/38.23820711058,133.5945884705/38.23820711058,133.5981330872/38.23820711058,133.6016777039/38.23820711058,133.6052223206/38.23820711058,133.6087669373/38.23820711058,133.612311554/38.23820711058,133.6158561707/38.23820711058,133.6194007874/38.23820711058,133.6229454041/38.23820711058,133.6264900208/38.23820711058,133.6300346375/38.23820711058,133.6335792542/38.23820711058,133.6371238708/38.23820711058,133.6406684875/38.23820711058
133.4315361023/38.24064227807,133.435080719/38.24064227807,133.4386253357/38.24064227807,133.4421699524/38.24064227807,133.4457145691/38.24064227807,133.4492591858/38.24064227807,133.4528038025/38.24064227807,133.4563484192/38.24064227807,133.4598930359/38.24064227807,133.4634376526/38.24064227807,133.4669822693/38.24064227807,133.470526886/38.24064227807,133.4740715027/38.24064227807,133.4776161194/38.24064227807,133.4811607361/38.24064227807,133.4847053528/38.24064227807,133.4882499695/38.24064227807,133.4917945862/38.24064227807,133.4953392029/38.24064227807,133.4988838196/38.24064227807,133.5024284363/38.24064227807,133.505973053/38.24064227807,133.5095176697/38.24064227807,133.5130622864/38.24064227807,133.5166069031/38.24064227807,133.5201515198/38.24064227807,133.5236961365/38.24064227807,133.5272407532/38.24064227807,133.5307853699/38.24064227807,133.5343299866/38.24064227807,133.5378746033/38.24064227807,133.54141922/38.24064227807,133.5449638367/38.24064227807,133.5485084534/38.24064227807,133.5520530701/38.24064227807,133.5555976868/38.24064227807,133.5591423035/38.24064227807,133.5626869202/38.24064227807,133.5662315369/38.24064227807,133.5697761536/38.24064227807,133.5733207703/38.24064227807,133.576865387/38.24064227807,133.5804100037/38.24064227807,133.5839546204/38.24064227807,133.5874992371/38.24064227807,133.5910438538/38.24064227807,133.5945884705/38.24064227807,133.5981330872/38.24064227807,133.6016777039/38.24064227807,133.6052223206/38.24064227807,133.6087669373/38.24064227807,133.612311554/38.24064227807,133.6158561707/38.24064227807,133.6194007874/38.24064227807,133.6229454041/38.24064227807,133.6264900208/38.24064227807,133.6300346375/38.24064227807,133.6335792542/38.24064227807,133.6371238708/38.24064227807,133.6406684875/38.24064227807
133.4315361023/38.243077364,133.435080719/38.243077364,133.4386253357/38.243077364,133.4421699524/38.243077364,133.4457145691/38.243077364,133.4492591858/38.243077364,133.4528038025/38.243077364,133.4563484192/38.243077364,133.4598930359/38.243077364,133.4634376526/38.243077364,133.4669822693/38.243077364,133.470526886/38.243077364,133.4740715027/38.243077364,133.4776161194/38.243077364,133.4811607361/38.243077364,133.4847053528/38.243077364,133.4882499695/38.243077364,133.4917945862/38.243077364,133.4953392029/38.243077364,133.4988838196/38.243077364,133.5024284363/38.243077364,133.505973053/38.243077364,133.5095176697/38.243077364,133.5130622864/38.243077364,133.5166069031/38.243077364,133.5201515198/38.243077364,133.5236961365/38.243077364,133.5272407532/38.243077364,133.5307853699/38.243077364,133.5343299866/38.243077364,133.5378746033/38.243077364,133.54141922/38.243077364,133.5449638367/38.243077364,133.5485084534/38.243077364,133.5520530701/38.243077364,133.5555976868/38.243077364,133.5591423035/38.243077364,133.5626869202/38.243077364,133.5662315369/38.243077364,133.5697761536/38.243077364,133.5733207703/38.243077364,133.576865387/38.243077364,133.5804100037/38.243077364,133.5839546204/38.243077364,133.5874992371/38.243077364,133.5910438538/38.243077364,133.5945884705/38.243077364,133.5981330872/38.243077364,133.6016777039/38.243077364,133.6052223206/38.243077364,133.6087669373/38.243077364,133.612311554/38.243077364,133.6158561707/38.243077364,133.6194007874/38.243077364,133.6229454041/38.243077364,133.6264900208/38.243077364,133.6300346375/38.243077364,133.6335792542/38.243077364,133.6371238708/38.243077364,133.6406684875/38.243077364
133.4315361023/38.24551236837,133.435080719/38.24551236837,133.4386253357/38.24551236837,133.4421699524/38.24551236837,133.4457145691/38.24551236837,133.4492591858/38.24551236837,133.4528038025/38.24551236837,133.4563484192/38.24551236837,133.4598930359/38.24551236837,133.4634376526/38.24551236837,133.4669822693/38.24551236837,133.470526886/38.24551236837,133.4740715027/38.24551236837,133.4776161194/38.24551236837,133.4811607361/38.24551236837,133.4847053528/38.24551236837,133.4882499695/38.24551236837,133.4917945862/38.24551236837,133.4953392029/38.24551236837,133.4988838196/38.24551236837,133.5024284363/38.24551236837,133.505973053/38.24551236837,133.5095176697/38.24551236837,133.5130622864/38.24551236837,133.5166069031/38.24551236837,133.5201515198/38.24551236837,133.5236961365/38.24551236837,133.5272407532/38.24551236837,133.5307853699/38.24551236837,133.5343299866/38.24551236837,133.5378746033/38.24551236837,133.54141922/38.24551236837,133.5449638367/38.24551236837,133.5485084534/38.24551236837,133.5520530701/38.24551236837,133.5555976868/38.24551236837,133.5591423035/38.24551236837,133.5626869202/38.24551236837,133.5662315369/38.24551236837,133.5697761536/38.24551236837,133.5733207703/38.24551236837,133.576865387/38.24551236837,133.5804100037/38.24551236837,133.5839546204/38.24551236837,133.5874992371/38.24551236837,133.5910438538/38.24551236837,133.5945884705/38.24551236837,133.5981330872/38.24551236837,133.6016777039/38.24551236837,133.6052223206/38.24551236837,133.6087669373/38.24551236837,133.612311554/38.24551236837,133.6158561707/38.24551236837,133.6194007874/38.24551236837,133.6229454041/38.24551236837,133.6264900208/38.24551236837,133.6300346375/38.24551236837,133.6335792542/38.24551236837,133.6371238708/38.24551236837,133.6406684875/38.24551236837
133.4315361023/38.24794729117,133.435080719/38.24794729117,133.4386253357/38.24794729117,133.4421699524/38.24794729117,133.4457145691/38.24794729117,133.4492591858/38.24794729117,133.4528038025/38.24794729117,133.4563484192/38.24794729117,133.4598930359/38.24794729117,133.4634376526/38.24794729117,133.4669822693/38.24794729117,133.470526886/38.24794729117,133.4740715027/38.24794729117,133.4776161194/38.24794729117,133.4811607361/38.24794729117,133.4847053528/38.24794729117,133.4882499695/38.24794729117,133.4917945862/38.24794729117,133.4953392029/38.24794729117,133.4988838196/38.24794729117,133.5024284363/38.24794729117,133.505973053/38.24794729117,133.5095176697/38.24794729117,133.5130622864/38.24794729117,133.5166069031/38.24794729117,133.5201515198/38.24794729117,133.5236961365/38.24794729117,133.5272407532/38.24794729117,133.5307853699/38.24794729117,133.5343299866/38.24794729117,133.5378746033/38.24794729117,133.54141922/38.24794729117,133.5449638367/38.24794729117,133.5485084534/38.24794729117,133.5520530701/38.24794729117,133.5555976868/38.24794729117,133.5591423035/38.24794729117,133.5626869202/38.24794729117,133.5662315369/38.24794729117,133.5697761536/38.24794729117,133.5733207703/38.24794729117,133.576865387/38.24794729117,133.5804100037/38.24794729117,133.5839546204/38.24794729117,133.5874992371/38.24794729117,133.5910438538/38.24794729117,133.5945884705/38.24794729117,133.5981330872/38.24794729117,133.6016777039/38.24794729117,133.6052223206/38.24794729117,133.6087669373/38.24794729117,133.612311554/38.24794729117,133.6158561707/38.24794729117,133.6194007874/38.24794729117,133.6229454041/38.24794729117,133.6264900208/38.24794729117,133.6300346375/38.24794729117,133.6335792542/38.24794729117,133.6371238708/38.24794729117,133.6406684875/38.24794729117
133.4315361023/38.2503821324,133.435080719/38.2503821324,133.4386253357/38.2503821324,133.4421699524/38.2503821324,133.4457145691/38.2503821324,133.4492591858/38.2503821324,133.4528038025/38.2503821324,133.4563484192/38.2503821324,133.4598930359/38.2503821324,133.4634376526/38.2503821324,133.4669822693/38.2503821324,133.470526886/38.2503821324,133.4740715027/38.2503821324,133.4776161194/38.2503821324,133.4811607361/38.2503821324,133.4847053528/38.2503821324,133.4882499695/38.2503821324,133.4917945862/38.2503821324,133.4953392029/38.2503821324,133.4988838196/38.2503821324,133.5024284363/38.2503821324,133.505973053/38.2503821324,133.5095176697/38.2503821324,133.5130622864/38.2503821324,133.5166069031/38.2503821324,133.5201515198/38.2503821324,133.5236961365/38.2503821324,133.5272407532/38.2503821324,133.5307853699/38.2503821324,133.5343299866/38.2503821324,133.5378746033/38.2503821324,133.54141922/38.2503821324,133.5449638367/38.2503821324,133.5485084534/38.2503821324,133.5520530701/38.2503821324,133.5555976868/38.2503821324,133.5591423035/38.2503821324,133.5626869202/38.2503821324,133.5662315369/38.2503821324,133.5697761536/38.2503821324,133.5733207703/38.2503821324,133.576865387/38.2503821324,133.5804100037/38.2503821324,133.5839546204/38.2503821324,133.5874992371/38.2503821324,133.5910438538/38.2503821324,133.5945884705/38.2503821324,133.5981330872/38.2503821324,133.6016777039/38.2503821324,133.6052223206/38.2503821324,133.6087669373/38.2503821324,133.612311554/38.2503821324,133.6158561707/38.2503821324,133.6194007874/38.2503821324,133.6229454041/38.2503821324,133.6264900208/38.2503821324,133.6300346375/38.2503821324,133.6335792542/38.2503821324,133.6371238708/38.2503821324,133.6406684875/38.2503821324
133.4315361023/38.25281689206,133.435080719/38.25281689206,133.4386253357/38.25281689206,133.4421699524/38.25281689206,133.4457145691/38.25281689206,133.4492591858/38.25281689206,133.4528038025/38.25281689206,133.4563484192/38.25281689206,133.4598930359/38.25281689206,133.4634376526/38.25281689206,133.4669822693/38.25281689206,133.470526886/38.25281689206,133.4740715027/38.25281689206,133.4776161194/38.25281689206,133.4811607361/38.25281689206,133.4847053528/38.25281689206,133.4882499695/38.25281689206,133.4917945862/38.25281689206,133.4953392029/38.25281689206,133.4988838196/38.25281689206,133.5024284363/38.25281689206,133.505973053/38.25281689206,133.5095176697/38.25281689206,133.5130622864/38.25281689206,133.5166069031/38.25281689206,133.5201515198/38.25281689206,133.5236961365/38.25281689206,133.5272407532/38.25281689206,133.5307853699/38.25281689206,133.5343299866/38.25281689206,133.5378746033/38.25281689206,133.54141922/38.25281689206,133.5449638367/38.25281689206,133.5485084534/38.25281689206,133.5520530701/38.25281689206,133.5555976868/38.25281689206,133.5591423035/38.25281689206,133.5626869202/38.25281689206,133.5662315369/38.25281689206,133.5697761536/38.25281689206,133.5733207703/38.25281689206,133.576865387/38.25281689206,133.5804100037/38.25281689206,133.5839546204/38.25281689206,133.5874992371/38.25281689206,133.5910438538/38.25281689206,133.5945884705/38.25281689206,133.5981330872/38.25281689206,133.6016777039/38.25281689206,133.6052223206/38.25281689206,133.6087669373/38.25281689206,133.612311554/38.25281689206,133.6158561707/38.25281689206,133.6194007874/38.25281689206,133.6229454041/38.25281689206,133.6264900208/38.25281689206,133.6300346375/38.25281689206,133.6335792542/38.25281689206,133.6371238708/38.25281689206,133.6406684875/38.25281689206
133.4315361023/38.25525157016,133.435080719/38.25525157016,133.4386253357/38.25525157016,133.4421699524/38.25525157016,133.4457145691/38.25525157016,133.4492591858/38.25525157016,133.4528038025/38.25525157016,133.4563484192/38.25525157016,133.4598930359/38.25525157016,133.4634376526/38.25525157016,133.4669822693/38.25525157016,133.470526886/38.25525157016,133.4740715027/38.25525157016,133.4776161194/38.25525157016,133.4811607361/38.25525157016,133.4847053528/38.25525157016,133.4882499695/38.25525157016,133.4917945862/38.25525157016,133.4953392029/38.25525157016,133.4988838196/38.25525157016,133.5024284363/38.25525157016,133.505973053/38.25525157016,133.5095176697/38.25525157016,133.5130622864/38.25525157016,133.5166069031/38.25525157016,133.5201515198/38.25525157016,133.5236961365/38.25525157016,133.5272407532/38.25525157016,133.5307853699/38.25525157016,133.5343299866/38.25525157016,133.5378746033/38.25525157016,133.54141922/38.25525157016,133.5449638367/38.25525157016,133.5485084534/38.25525157016,133.5520530701/38.25525157016,133.5555976868/38.25525157016,133.5591423035/38.25525157016,133.5626869202/38.25525157016,133.5662315369/38.25525157016,133.5697761536/38.25525157016,133.5733207703/38.25525157016,133.576865387/38.25525157016,133.5804100037/38.25525157016,133.5839546204/38.25525157016,133.5874992371/38.25525157016,133.5910438538/38.25525157016,133.5945884705/38.25525157016,133.5981330872/38.25525157016,133.6016777039/38.25525157016,133.6052223206/38.25525157016,133.6087669373/38.25525157016,133.612311554/38.25525157016,133.6158561707/38.25525157016,133.6194007874/38.25525157016,133.6229454041/38.25525157016,133.6264900208/38.25525157016,133.6300346375/38.25525157016,133.6335792542/38.25525157016,133.6371238708/38.25525157016,133.6406684875/38.25525157016
