133.4492784119/38.16942005298,133.4529988098/38.16942005298,133.4567192078/38.16942005298,133.4604396057/38.16942005298,133.4641600037/38.16942005298,133.4678804016/38.16942005298,133.4716007996/38.16942005298,133.4753211975/38.16942005298,133.4790415955/38.16942005298,133.4827619934/38.16942005298,133.4864823914/38.16942005298,133.4902027893/38.16942005298,133.4939231873/38.16942005298,133.4976435852/38.16942005298,133.5013639832/38.16942005298,133.5050843811/38.16942005298,133.5088047791/38.16942005298,133.512525177/38.16942005298,133.516245575/38.16942005298,133.5199659729/38.16942005298,133.5236863708/38.16942005298,133.5274067688/38.16942005298,133.5311271667/38.16942005298,133.5348475647/38.16942005298,133.5385679626/38.16942005298,133.5422883606/38.16942005298,133.5460087585/38.16942005298,133.5497291565/38.16942005298,133.5534495544/38.16942005298,133.5571699524/38.16942005298,133.5608903503/38.16942005298,133.5646107483/38.16942005298,133.5683311462/38.16942005298,133.5720515442/38.16942005298,133.5757719421/38.16942005298,133.5794923401/38.16942005298,133.583212738/38.16942005298,133.586933136/38.16942005298,133.5906535339/38.16942005298,133.5943739319/38.16942005298,133.5980943298/38.16942005298,133.6018147278/38.16942005298,133.6055351257/38.16942005298,133.6092555237/38.16942005298,133.6129759216/38.16942005298,133.6166963196/38.16942005298,133.6204167175/38.16942005298,133.6241371155/38.16942005298,133.6278575134/38.16942005298,133.6315779114/38.16942005298
133.4492784119/38.24730060386,133.4529988098/38.24730060386,133.4567192078/38.24730060386,133.4604396057/38.24730060386,133.4641600037/38.24730060386,133.4678804016/38.24730060386,133.4716007996/38.24730060386,133.4753211975/38.24730060386,133.4790415955/38.24730060386,133.4827619934/38.24730060386,133.4864823914/38.24730060386,133.4902027893/38.24730060386,133.4939231873/38.24730060386,133.4976435852/38.24730060386,133.5013639832/38.24730060386,133.5050843811/38.24730060386,133.5088047791/38.24730060386,133.512525177/38.24730060386,133.516245575/38.24730060386,133.5199659729/38.24730060386,133.5236863708/38.24730060386,133.5274067688/38.24730060386,133.5311271667/38.24730060386,133.5348475647/38.24730060386,133.5385679626/38.24730060386,133.5422883606/38.24730060386,133.5460087585/38.24730060386,133.5497291565/38.24730060386,133.5534495544/38.24730060386,133.5571699524/38.24730060386,133.5608903503/38.24730060386,133.5646107483/38.24730060386,133.5683311462/38.24730060386,133.5720515442/38.24730060386,133.5757719421/38.24730060386,133.5794923401/38.24730060386,133.583212738/38.24730060386,133.586933136/38.24730060386,133.5906535339/38.24730060386,133.5943739319/38.24730060386,133.5980943298/38.24730060386,133.6018147278/38.24730060386,133.6055351257/38.24730060386,133.6092555237/38.24730060386,133.6129759216/38.24730060386,133.6166963196/38.24730060386,133.6204167175/38.24730060386,133.6241371155/38.24730060386,133.6278575134/38.24730060386,133.6315779114/38.24730060386
133.4492784119/38.24989518694,133.4529988098/38.24989518694,133.4567192078/38.24989518694,133.4604396057/38.24989518694,133.4641600037/38.24989518694,133.4678804016/38.24989518694,133.4716007996/38.24989518694,133.4753211975/38.24989518694,133.4790415955/38.24989518694,133.4827619934/38.24989518694,133.4864823914/38.24989518694,133.4902027893/38.24989518694,133.4939231873/38.24989518694,133.4976435852/38.24989518694,133.5013639832/38.24989518694,133.5050843811/38.24989518694,133.5088047791/38.24989518694,133.512525177/38.24989518694,133.516245575/38.24989518694,133.5199659729/38.24989518694,133.5236863708/38.24989518694,133.5274067688/38.24989518694,133.5311271667/38.24989518694,133.5348475647/38.24989518694,133.5385679626/38.24989518694,133.5422883606/38.24989518694,133.5460087585/38.24989518694,133.5497291565/38.24989518694,133.5534495544/38.24989518694,133.5571699524/38.24989518694,133.5608903503/38.24989518694,133.5646107483/38.24989518694,133.5683311462/38.24989518694,133.5720515442/38.24989518694,133.5757719421/38.24989518694,133.5794923401/38.24989518694,133.583212738/38.24989518694,133.586933136/38.24989518694,133.5906535339/38.24989518694,133.5943739319/38.24989518694,133.5980943298/38.24989518694,133.6018147278/38.24989518694,133.6055351257/38.24989518694,133.6092555237/38.24989518694,133.6129759216/38.24989518694,133.6166963196/38.24989518694,133.6204167175/38.24989518694,133.6241371155/38.24989518694,133.6278575134/38.24989518694,133.6315779114/38.24989518694
133.4492784119/38.2524896774,133.4529988098/38.2524896774,133.4567192078/38.2524896774,133.4604396057/38.2524896774,133.4641600037/38.2524896774,133.4678804016/38.2524896774,133.4716007996/38.2524896774,133.4753211975/38.2524896774,133.4790415955/38.2524896774,133.4827619934/38.2524896774,133.4864823914/38.2524896774,133.4902027893/38.2524896774,133.4939231873/38.2524896774,133.4976435852/38.2524896774,133.5013639832/38.2524896774,133.5050843811/38.2524896774,133.5088047791/38.2524896774,133.512525177/38.2524896774,133.516245575/38.2524896774,133.5199659729/38.2524896774,133.5236863708/38.2524896774,133.5274067688/38.2524896774,133.5311271667/38.2524896774,133.5348475647/38.2524896774,133.5385679626/38.2524896774,133.5422883606/38.2524896774,133.5460087585/38.2524896774,133.5497291565/38.2524896774,133.5534495544/38.2524896774,133.5571699524/38.2524896774,133.5608903503/38.2524896774,133.5646107483/38.2524896774,133.5683311462/38.2524896774,133.5720515442/38.2524896774,133.5757719421/38.2524896774,133.5794923401/38.2524896774,133.583212738/38.2524896774,133.586933136/38.2524896774,133.5906535339/38.2524896774,133.5943739319/38.2524896774,133.5980943298/38.2524896774,133.6018147278/38.2524896774,133.6055351257/38.2524896774,133.6092555237/38.2524896774,133.6129759216/38.2524896774,133.6166963196/38.2524896774,133.6204167175/38.2524896774,133.6241371155/38.2524896774,133.6278575134/38.2524896774,133.6315779114/38.2524896774
133.4492784119/38.25508407524,133.4529988098/38.25508407524,133.4567192078/38.25508407524,133.4604396057/38.25508407524,133.4641600037/38.25508407524,133.4678804016/38.25508407524,133.4716007996/38.25508407524,133.4753211975/38.25508407524,133.4790415955/38.25508407524,133.4827619934/38.25508407524,133.4864823914/38.25508407524,133.4902027893/38.25508407524,133.4939231873/38.25508407524,133.4976435852/38.25508407524,133.5013639832/38.25508407524,133.5050843811/38.25508407524,133.5088047791/38.25508407524,133.512525177/38.25508407524,133.516245575/38.25508407524,133.5199659729/38.25508407524,133.5236863708/38.25508407524,133.5274067688/38.25508407524,133.5311271667/38.25508407524,133.5348475647/38.25508407524,133.5385679626/38.25508407524,133.5422883606/38.25508407524,133.5460087585/38.25508407524,133.5497291565/38.25508407524,133.5534495544/38.25508407524,133.5571699524/38.25508407524,133.5608903503/38.25508407524,133.5646107483/38.25508407524,133.5683311462/38.25508407524,133.5720515442/38.25508407524,133.5757719421/38.25508407524,133.5794923401/38.25508407524,133.583212738/38.25508407524,133.586933136/38.25508407524,133.5906535339/38.25508407524,133.5943739319/38.25508407524,133.5980943298/38.25508407524,133.6018147278/38.25508407524,133.6055351257/38.25508407524,133.6092555237/38.25508407524,133.6129759216/38.25508407524,133.6166963196/38.25508407524,133.6204167175/38.25508407524,133.6241371155/38.25508407524,133.6278575134/38.25508407524,133.6315779114/38.25508407524
133.4492784119/38.25767838045,133.4529988098/38.25767838045,133.4567192078/38.25767838045,133.4604396057/38.25767838045,133.4641600037/38.25767838045,133.4678804016/38.25767838045,133.4716007996/38.25767838045,133.4753211975/38.25767838045,133.4790415955/38.25767838045,133.4827619934/38.25767838045,133.4864823914/38.25767838045,133.4902027893/38.25767838045,133.4939231873/38.25767838045,133.4976435852/38.25767838045,133.5013639832/38.25767838045,133.5050843811/38.25767838045,133.5088047791/38.25767838045,133.512525177/38.25767838045,133.516245575/38.25767838045,133.5199659729/38.25767838045,133.5236863708/38.25767838045,133.5274067688/38.25767838045,133.5311271667/38.25767838045,133.5348475647/38.25767838045,133.5385679626/38.25767838045,133.5422883606/38.25767838045,133.5460087585/38.25767838045,133.5497291565/38.25767838045,133.5534495544/38.25767838045,133.5571699524/38.25767838045,133.5608903503/38.25767838045,133.5646107483/38.25767838045,133.5683311462/38.25767838045,133.5720515442/38.25767838045,133.5757719421/38.25767838045,133.5794923401/38.25767838045,133.583212738/38.25767838045,133.586933136/38.25767838045,133.5906535339/38.25767838045,133.5943739319/38.25767838045,133.5980943298/38.25767838045,133.6018147278/38.25767838045,133.6055351257/38.25767838045,133.6092555237/38.25767838045,133.6129759216/38.25767838045,133.6166963196/38.25767838045,133.6204167175/38.25767838045,133.6241371155/38.25767838045,133.6278575134/38.25767838045,133.6315779114/38.25767838045
133.4492784119/38.26027259303,133.4529988098/38.26027259303,133.4567192078/38.26027259303,133.4604396057/38.26027259303,133.4641600037/38.26027259303,133.4678804016/38.26027259303,133.4716007996/38.26027259303,133.4753211975/38.26027259303,133.4790415955/38.26027259303,133.4827619934/38.26027259303,133.4864823914/38.26027259303,133.4902027893/38.26027259303,133.4939231873/38.26027259303,133.4976435852/38.26027259303,133.5013639832/38.26027259303,133.5050843811/38.26027259303,133.5088047791/38.26027259303,133.512525177/38.26027259303,133.516245575/38.26027259303,133.5199659729/38.26027259303,133.5236863708/38.26027259303,133.5274067688/38.26027259303,133.5311271667/38.26027259303,133.5348475647/38.26027259303,133.5385679626/38.26027259303,133.5422883606/38.26027259303,133.5460087585/38.26027259303,133.5497291565/38.26027259303,133.5534495544/38.26027259303,133.5571699524/38.26027259303,133.5608903503/38.26027259303,133.5646107483/38.26027259303,133.5683311462/38.26027259303,133.5720515442/38.26027259303,133.5757719421/38.26027259303,133.5794923401/38.26027259303,133.583212738/38.26027259303,133.586933136/38.26027259303,133.5906535339/38.26027259303,133.5943739319/38.26027259303,133.5980943298/38.26027259303,133.6018147278/38.26027259303,133.6055351257/38.26027259303,133.6092555237/38.26027259303,133.6129759216/38.26027259303,133.6166963196/38.26027259303,133.6204167175/38.26027259303,133.6241371155/38.26027259303,133.6278575134/38.26027259303,133.6315779114/38.26027259303
133.4492784119/38.26286671299,133.4529988098/38.26286671299,133.4567192078/38.26286671299,133.4604396057/38.26286671299,133.4641600037/38.26286671299,133.4678804016/38.26286671299,133.4716007996/38.26286671299,133.4753211975/38.26286671299,133.4790415955/38.26286671299,133.4827619934/38.26286671299,133.4864823914/38.26286671299,133.4902027893/38.26286671299,133.4939231873/38.26286671299,133.4976435852/38.26286671299,133.5013639832/38.26286671299,133.5050843811/38.26286671299,133.5088047791/38.26286671299,133.512525177/38.26286671299,133.516245575/38.26286671299,133.5199659729/38.26286671299,133.5236863708/38.26286671299,133.5274067688/38.26286671299,133.5311271667/38.26286671299,133.5348475647/38.26286671299,133.5385679626/38.26286671299,133.5422883606/38.26286671299,133.5460087585/38.26286671299,133.5497291565/38.26286671299,133.5534495544/38.26286671299,133.5571699524/38.26286671299,133.5608903503/38.26286671299,133.5646107483/38.26286671299,133.5683311462/38.26286671299,133.5720515442/38.26286671299,133.5757719421/38.26286671299,133.5794923401/38.26286671299,133.583212738/38.26286671299,133.586933136/38.26286671299,133.5906535339/38.26286671299,133.5943739319/38.26286671299,133.5980943298/38.26286671299,133.6018147278/38.26286671299,133.6055351257/38.26286671299,133.6092555237/38.26286671299,133.6129759216/38.26286671299,133.6166963196/38.26286671299,133.6204167175/38.26286671299,133.6241371155/38.26286671299,133.6278575134/38.26286671299,133.6315779114/38.26286671299
133.4492784119/38.26546074032,133.4529988098/38.26546074032,133.4567192078/38.26546074032,133.4604396057/38.26546074032,133.4641600037/38.26546074032,133.4678804016/38.26546074032,133.4716007996/38.26546074032,133.4753211975/38.26546074032,133.4790415955/38.26546074032,133.4827619934/38.26546074032,133.4864823914/38.26546074032,133.4902027893/38.26546074032,133.4939231873/38.26546074032,133.4976435852/38.26546074032,133.5013639832/38.26546074032,133.5050843811/38.26546074032,133.5088047791/38.26546074032,133.512525177/38.26546074032,133.516245575/38.26546074032,133.5199659729/38.26546074032,133.5236863708/38.26546074032,133.5274067688/38.26546074032,133.5311271667/38.26546074032,133.5348475647/38.26546074032,133.5385679626/38.26546074032,133.5422883606/38.26546074032,133.5460087585/38.26546074032,133.5497291565/38.26546074032,133.5534495544/38.26546074032,133.5571699524/38.26546074032,133.5608903503/38.26546074032,133.5646107483/38.26546074032,133.5683311462/38.26546074032,133.5720515442/38.26546074032,133.5757719421/38.26546074032,133.5794923401/38.26546074032,133.583212738/38.26546074032,133.586933136/38.26546074032,133.5906535339/38.26546074032,133.5943739319/38.26546074032,133.5980943298/38.26546074032,133.6018147278/38.26546074032,133.6055351257/38.26546074032,133.6092555237/38.26546074032,133.6129759216/38.26546074032,133.6166963196/38.26546074032,133.6204167175/38.26546074032,133.6241371155/38.26546074032,133.6278575134/38.26546074032,133.6315779114/38.26546074032
133.4492784119/38.26805467501,133.4529988098/38.26805467501,133.4567192078/38.26805467501,133.4604396057/38.26805467501,133.4641600037/38.26805467501,133.4678804016/38.26805467501,133.4716007996/38.26805467501,133.4753211975/38.26805467501,133.4790415955/38.26805467501,133.4827619934/38.26805467501,133.4864823914/38.26805467501,133.4902027893/38.26805467501,133.4939231873/38.26805467501,133.4976435852/38.26805467501,133.5013639832/38.26805467501,133.5050843811/38.26805467501,133.5088047791/38.26805467501,133.512525177/38.26805467501,133.516245575/38.26805467501,133.5199659729/38.26805467501,133.5236863708/38.26805467501,133.5274067688/38.26805467501,133.5311271667/38.26805467501,133.5348475647/38.26805467501,133.5385679626/38.26805467501,133.5422883606/38.26805467501,133.5460087585/38.26805467501,133.5497291565/38.26805467501,133.5534495544/38.26805467501,133.5571699524/38.26805467501,133.5608903503/38.26805467501,133.5646107483/38.26805467501,133.5683311462/38.26805467501,133.5720515442/38.26805467501,133.5757719421/38.26805467501,133.5794923401/38.26805467501,133.583212738/38.26805467501,133.586933136/38.26805467501,133.5906535339/38.26805467501,133.5943739319/38.26805467501,133.5980943298/38.26805467501,133.6018147278/38.26805467501,133.6055351257/38.26805467501,133.6092555237/38.26805467501,133.6129759216/38.26805467501,133.6166963196/38.26805467501,133.6204167175/38.26805467501,133.6241371155/38.26805467501,133.6278575134/38.26805467501,133.6315779114/38.26805467501
133.4492784119/38.27064851707,133.4529988098/38.27064851707,133.4567192078/38.27064851707,133.4604396057/38.27064851707,133.4641600037/38.27064851707,133.4678804016/38.27064851707,133.4716007996/38.27064851707,133.4753211975/38.27064851707,133.4790415955/38.27064851707,133.4827619934/38.27064851707,133.4864823914/38.27064851707,133.4902027893/38.27064851707,133.4939231873/38.27064851707,133.4976435852/38.27064851707,133.5013639832/38.27064851707,133.5050843811/38.27064851707,133.5088047791/38.27064851707,133.512525177/38.27064851707,133.516245575/38.27064851707,133.5199659729/38.27064851707,133.5236863708/38.27064851707,133.5274067688/38.27064851707,133.5311271667/38.27064851707,133.5348475647/38.27064851707,133.5385679626/38.27064851707,133.5422883606/38.27064851707,133.5460087585/38.27064851707,133.5497291565/38.27064851707,133.5534495544/38.27064851707,133.5571699524/38.27064851707,133.5608903503/38.27064851707,133.5646107483/38.27064851707,133.5683311462/38.27064851707,133.5720515442/38.27064851707,133.5757719421/38.27064851707,133.5794923401/38.27064851707,133.583212738/38.27064851707,133.586933136/38.27064851707,133.5906535339/38.27064851707,133.5943739319/38.27064851707,133.5980943298/38.27064851707,133.6018147278/38.27064851707,133.6055351257/38.27064851707,133.6092555237/38.27064851707,133.6129759216/38.27064851707,133.6166963196/38.27064851707,133.6204167175/38.27064851707,133.6241371155/38.27064851707,133.6278575134/38.27064851707,133.6315779114/38.27064851707
133.4492784119/38.27324226649,133.4529988098/38.27324226649,133.4567192078/38.27324226649,133.4604396057/38.27324226649,133.4641600037/38.27324226649,133.4678804016/38.27324226649,133.4716007996/38.27324226649,133.4753211975/38.27324226649,133.4790415955/38.27324226649,133.4827619934/38.27324226649,133.4864823914/38.27324226649,133.4902027893/38.27324226649,133.4939231873/38.27324226649,133.4976435852/38.27324226649,133.5013639832/38.27324226649,133.5050843811/38.27324226649,133.5088047791/38.27324226649,133.512525177/38.27324226649,133.516245575/38.27324226649,133.5199659729/38.27324226649,133.5236863708/38.27324226649,133.5274067688/38.27324226649,133.5311271667/38.27324226649,133.5348475647/38.27324226649,133.5385679626/38.27324226649,133.5422883606/38.27324226649,133.5460087585/38.27324226649,133.5497291565/38.27324226649,133.5534495544/38.27324226649,133.5571699524/38.27324226649,133.5608903503/38.27324226649,133.5646107483/38.27324226649,133.5683311462/38.27324226649,133.5720515442/38.27324226649,133.5757719421/38.27324226649,133.5794923401/38.27324226649,133.583212738/38.27324226649,133.586933136/38.27324226649,133.5906535339/38.27324226649,133.5943739319/38.27324226649,133.5980943298/38.27324226649,133.6018147278/38.27324226649,133.6055351257/38.27324226649,133.6092555237/38.27324226649,133.6129759216/38.27324226649,133.6166963196/38.27324226649,133.6204167175/38.27324226649,133.6241371155/38.27324226649,133.6278575134/38.27324226649,133.6315779114/38.27324226649
133.4492784119/38.27583592328,133.4529988098/38.27583592328,133.4567192078/38.27583592328,133.4604396057/38.27583592328,133.4641600037/38.27583592328,133.4678804016/38.27583592328,133.4716007996/38.27583592328,133.4753211975/38.27583592328,133.4790415955/38.27583592328,133.4827619934/38.27583592328,133.4864823914/38.27583592328,133.4902027893/38.27583592328,133.4939231873/38.27583592328,133.4976435852/38.27583592328,133.5013639832/38.27583592328,133.5050843811/38.27583592328,133.5088047791/38.27583592328,133.512525177/38.27583592328,133.516245575/38.27583592328,133.5199659729/38.27583592328,133.5236863708/38.27583592328,133.5274067688/38.27583592328,133.5311271667/38.27583592328,133.5348475647/38.27583592328,133.5385679626/38.27583592328,133.5422883606/38.27583592328,133.5460087585/38.27583592328,133.5497291565/38.27583592328,133.5534495544/38.27583592328,133.5571699524/38.27583592328,133.5608903503/38.27583592328,133.5646107483/38.27583592328,133.5683311462/38.27583592328,133.5720515442/38.27583592328,133.5757719421/38.27583592328,133.5794923401/38.27583592328,133.583212738/38.27583592328,133.586933136/38.27583592328,133.5906535339/38.27583592328,133.5943739319/38.27583592328,133.5980943298/38.27583592328,133.6018147278/38.27583592328,133.6055351257/38.27583592328,133.6092555237/38.27583592328,133.6129759216/38.27583592328,133.6166963196/38.27583592328,133.6204167175/38.27583592328,133.6241371155/38.27583592328,133.6278575134/38.27583592328,133.6315779114/38.27583592328
133.4492784119/38.27842948742,133.4529988098/38.27842948742,133.4567192078/38.27842948742,133.4604396057/38.27842948742,133.4641600037/38.27842948742,133.4678804016/38.27842948742,133.4716007996/38.27842948742,133.4753211975/38.27842948742,133.4790415955/38.27842948742,133.4827619934/38.27842948742,133.4864823914/38.27842948742,133.4902027893/38.27842948742,133.4939231873/38.27842948742,133.4976435852/38.27842948742,133.5013639832/38.27842948742,133.5050843811/38.27842948742,133.5088047791/38.27842948742,133.512525177/38.27842948742,133.516245575/38.27842948742,133.5199659729/38.27842948742,133.5236863708/38.27842948742,133.5274067688/38.27842948742,133.5311271667/38.27842948742,133.5348475647/38.27842948742,133.5385679626/38.27842948742,133.5422883606/38.27842948742,133.5460087585/38.27842948742,133.5497291565/38.27842948742,133.5534495544/38.27842948742,133.5571699524/38.27842948742,133.5608903503/38.27842948742,133.5646107483/38.27842948742,133.5683311462/38.27842948742,133.5720515442/38.27842948742,133.5757719421/38.27842948742,133.5794923401/38.27842948742,133.583212738/38.27842948742,133.586933136/38.27842948742,133.5906535339/38.27842948742,133.5943739319/38.27842948742,133.5980943298/38.27842948742,133.6018147278/38.27842948742,133.6055351257/38.27842948742,133.6092555237/38.27842948742,133.6129759216/38.27842948742,133.6166963196/38.27842948742,133.6204167175/38.27842948742,133.6241371155/38.27842948742,133.6278575134/38.27842948742,133.6315779114/38.27842948742
133.4492784119/38.28102295892,133.4529988098/38.28102295892,133.4567192078/38.28102295892,133.4604396057/38.28102295892,133.4641600037/38.28102295892,133.4678804016/38.28102295892,133.4716007996/38.28102295892,133.4753211975/38.28102295892,133.4790415955/38.28102295892,133.4827619934/38.28102295892,133.4864823914/38.28102295892,133.4902027893/38.28102295892,133.4939231873/38.28102295892,133.4976435852/38.28102295892,133.5013639832/38.28102295892,133.5050843811/38.28102295892,133.5088047791/38.28102295892,133.512525177/38.28102295892,133.516245575/38.28102295892,133.5199659729/38.28102295892,133.5236863708/38.28102295892,133.5274067688/38.28102295892,133.5311271667/38.28102295892,133.5348475647/38.28102295892,133.5385679626/38.28102295892,133.5422883606/38.28102295892,133.5460087585/38.28102295892,133.5497291565/38.28102295892,133.5534495544/38.28102295892,133.5571699524/38.28102295892,133.5608903503/38.28102295892,133.5646107483/38.28102295892,133.5683311462/38.28102295892,133.5720515442/38.28102295892,133.5757719421/38.28102295892,133.5794923401/38.28102295892,133.583212738/38.28102295892,133.586933136/38.28102295892,133.5906535339/38.28102295892,133.5943739319/38.28102295892,133.5980943298/38.28102295892,133.6018147278/38.28102295892,133.6055351257/38.28102295892,133.6092555237/38.28102295892,133.6129759216/38.28102295892,133.6166963196/38.28102295892,133.6204167175/38.28102295892,133.6241371155/38.28102295892,133.6278575134/38.28102295892,133.6315779114/38.28102295892
133.4492784119/38.28361633778,133.4529988098/38.28361633778,133.4567192078/38.28361633778,133.4604396057/38.28361633778,133.4641600037/38.28361633778,133.4678804016/38.28361633778,133.4716007996/38.28361633778,133.4753211975/38.28361633778,133.4790415955/38.28361633778,133.4827619934/38.28361633778,133.4864823914/38.28361633778,133.4902027893/38.28361633778,133.4939231873/38.28361633778,133.4976435852/38.28361633778,133.5013639832/38.28361633778,133.5050843811/38.28361633778,133.5088047791/38.28361633778,133.512525177/38.28361633778,133.516245575/38.28361633778,133.5199659729/38.28361633778,133.5236863708/38.28361633778,133.5274067688/38.28361633778,133.5311271667/38.28361633778,133.5348475647/38.28361633778,133.5385679626/38.28361633778,133.5422883606/38.28361633778,133.5460087585/38.28361633778,133.5497291565/38.28361633778,133.5534495544/38.28361633778,133.5571699524/38.28361633778,133.5608903503/38.28361633778,133.5646107483/38.28361633778,133.5683311462/38.28361633778,133.5720515442/38.28361633778,133.5757719421/38.28361633778,133.5794923401/38.28361633778,133.583212738/38.28361633778,133.586933136/38.28361633778,133.5906535339/38.28361633778,133.5943739319/38.28361633778,133.5980943298/38.28361633778,133.6018147278/38.28361633778,133.6055351257/38.28361633778,133.6092555237/38.28361633778,133.6129759216/38.28361633778,133.6166963196/38.28361633778,133.6204167175/38.28361633778,133.6241371155/38.28361633778,133.6278575134/38.28361633778,133.6315779114/38.28361633778
133.4492784119/38.28620962399,133.4529988098/38.28620962399,133.4567192078/38.28620962399,133.4604396057/38.28620962399,133.4641600037/38.28620962399,133.4678804016/38.28620962399,133.4716007996/38.28620962399,133.4753211975/38.28620962399,133.4790415955/38.28620962399,133.4827619934/38.28620962399,133.4864823914/38.28620962399,133.4902027893/38.28620962399,133.4939231873/38.28620962399,133.4976435852/38.28620962399,133.5013639832/38.28620962399,133.5050843811/38.28620962399,133.5088047791/38.28620962399,133.512525177/38.28620962399,133.516245575/38.28620962399,133.5199659729/38.28620962399,133.5236863708/38.28620962399,133.5274067688/38.28620962399,133.5311271667/38.28620962399,133.5348475647/38.28620962399,133.5385679626/38.28620962399,133.5422883606/38.28620962399,133.5460087585/38.28620962399,133.5497291565/38.28620962399,133.5534495544/38.28620962399,133.5571699524/38.28620962399,133.5608903503/38.28620962399,133.5646107483/38.28620962399,133.5683311462/38.28620962399,133.5720515442/38.28620962399,133.5757719421/38.28620962399,133.5794923401/38.28620962399,133.583212738/38.28620962399,133.586933136/38.28620962399,133.5906535339/38.28620962399,133.5943739319/38.28620962399,133.5980943298/38.28620962399,133.6018147278/38.28620962399,133.6055351257/38.28620962399,133.6092555237/38.28620962399,133.6129759216/38.28620962399,133.6166963196/38.28620962399,133.6204167175/38.28620962399,133.6241371155/38.28620962399,133.6278575134/38.28620962399,133.6315779114/38.28620962399
133.4492784119/38.28880281755,133.4529988098/38.28880281755,133.4567192078/38.28880281755,133.4604396057/38.28880281755,133.4641600037/38.28880281755,133.4678804016/38.28880281755,133.4716007996/38.28880281755,133.4753211975/38.28880281755,133.4790415955/38.28880281755,133.4827619934/38.28880281755,133.4864823914/38.28880281755,133.4902027893/38.28880281755,133.4939231873/38.28880281755,133.4976435852/38.28880281755,133.5013639832/38.28880281755,133.5050843811/38.28880281755,133.5088047791/38.28880281755,133.512525177/38.28880281755,133.516245575/38.28880281755,133.5199659729/38.28880281755,133.5236863708/38.28880281755,133.5274067688/38.28880281755,133.5311271667/38.28880281755,133.5348475647/38.28880281755,133.5385679626/38.28880281755,133.5422883606/38.28880281755,133.5460087585/38.28880281755,133.5497291565/38.28880281755,133.5534495544/38.28880281755,133.5571699524/38.28880281755,133.5608903503/38.28880281755,133.5646107483/38.28880281755,133.5683311462/38.28880281755,133.5720515442/38.28880281755,133.5757719421/38.28880281755,133.5794923401/38.28880281755,133.583212738/38.28880281755,133.586933136/38.28880281755,133.5906535339/38.28880281755,133.5943739319/38.28880281755,133.5980943298/38.28880281755,133.6018147278/38.28880281755,133.6055351257/38.28880281755,133.6092555237/38.28880281755,133.6129759216/38.28880281755,133.6166963196/38.28880281755,133.6204167175/38.28880281755,133.6241371155/38.28880281755,133.6278575134/38.28880281755,133.6315779114/38.28880281755
133.4492784119/38.29139591846,133.4529988098/38.29139591846,133.4567192078/38.29139591846,133.4604396057/38.29139591846,133.4641600037/38.29139591846,133.4678804016/38.29139591846,133.4716007996/38.29139591846,133.4753211975/38.29139591846,133.4790415955/38.29139591846,133.4827619934/38.29139591846,133.4864823914/38.29139591846,133.4902027893/38.29139591846,133.4939231873/38.29139591846,133.4976435852/38.29139591846,133.5013639832/38.29139591846,133.5050843811/38.29139591846,133.5088047791/38.29139591846,133.512525177/38.29139591846,133.516245575/38.29139591846,133.5199659729/38.29139591846,133.5236863708/38.29139591846,133.5274067688/38.29139591846,133.5311271667/38.29139591846,133.5348475647/38.29139591846,133.5385679626/38.29139591846,133.5422883606/38.29139591846,133.5460087585/38.29139591846,133.5497291565/38.29139591846,133.5534495544/38.29139591846,133.5571699524/38.29139591846,133.5608903503/38.29139591846,133.5646107483/38.29139591846,133.5683311462/38.29139591846,133.5720515442/38.29139591846,133.5757719421/38.29139591846,133.5794923401/38.29139591846,133.583212738/38.29139591846,133.586933136/38.29139591846,133.5906535339/38.29139591846,133.5943739319/38.29139591846,133.5980943298/38.29139591846,133.6018147278/38.29139591846,133.6055351257/38.29139591846,133.6092555237/38.29139591846,133.6129759216/38.29139591846,133.6166963196/38.29139591846,133.6204167175/38.29139591846,133.6241371155/38.29139591846,133.6278575134/38.29139591846,133.6315779114/38.29139591846
133.4492784119/38.29398892672,133.4529988098/38.29398892672,133.4567192078/38.29398892672,133.4604396057/38.29398892672,133.4641600037/38.29398892672,133.4678804016/38.29398892672,133.4716007996/38.29398892672,133.4753211975/38.29398892672,133.4790415955/38.29398892672,133.4827619934/38.29398892672,133.4864823914/38.29398892672,133.4902027893/38.29398892672,133.4939231873/38.29398892672,133.4976435852/38.29398892672,133.5013639832/38.29398892672,133.5050843811/38.29398892672,133.5088047791/38.29398892672,133.512525177/38.29398892672,133.516245575/38.29398892672,133.5199659729/38.29398892672,133.5236863708/38.29398892672,133.5274067688/38.29398892672,133.5311271667/38.29398892672,133.5348475647/38.29398892672,133.5385679626/38.29398892672,133.5422883606/38.29398892672,133.5460087585/38.29398892672,133.5497291565/38.29398892672,133.5534495544/38.29398892672,133.5571699524/38.29398892672,133.5608903503/38.29398892672,133.5646107483/38.29398892672,133.5683311462/38.29398892672,133.5720515442/38.29398892672,133.5757719421/38.29398892672,133.5794923401/38.29398892672,133.583212738/38.29398892672,133.586933136/38.29398892672,133.5906535339/38.29398892672,133.5943739319/38.29398892672,133.5980943298/38.29398892672,133.6018147278/38.29398892672,133.6055351257/38.29398892672,133.6092555237/38.29398892672,133.6129759216/38.29398892672,133.6166963196/38.29398892672,133.6204167175/38.29398892672,133.6241371155/38.29398892672,133.6278575134/38.29398892672,133.6315779114/38.29398892672
